Date,Close,High,Low,Open,Volume,Pct_Change
2025-06-10,38211.51171875,38495.69921875,38139.1015625,38278.171875,106000000,0.3227776869578536
2025-06-11,38421.19140625,38529.640625,38288.28125,38431.1015625,109300000,0.548734342266588
2025-06-16,38311.328125,38342.51953125,38055.51953125,38056.859375,104700000,1.2609688972293531
2025-06-17,38536.73828125,38581.25,38333.3515625,38366.6796875,103600000,0.588364244420192
2025-06-18,38885.1484375,38885.1484375,38364.16015625,38364.16015625,110000000,0.9040987166771153
2025-06-19,38488.33984375,38870.55078125,38488.33984375,38858.51953125,89300000,-1.0204631065965697
2025-06-20,38403.23046875,38646.16015625,38362.5390625,38472.25,183900000,-0.22113028347160446
2025-06-23,38354.08984375,38368.21875,38026.3203125,38260.69140625,95800000,-0.12795961277264345
2025-06-24,38790.55859375,38990.109375,38665.609375,38779.1796875,100800000,1.1379979339312118
2025-06-25,38942.0703125,38944.76953125,38711.109375,38904.1796875,102900000,0.39058916458709625
2025-06-26,39584.578125,39615.58984375,39056.140625,39072.140625,123600000,1.6499066622396752
2025-07-01,39986.328125,40345.87109375,39885.37890625,40340.640625,124000000,-1.2375766683531464
2025-07-02,39762.48046875,39943.62109375,39444.69921875,39631.171875,127600000,-0.5598104820983774
2025-07-03,39785.8984375,39865.890625,39667.8203125,39796.75,135400000,0.05889463754256141
2025-07-04,39810.87890625,40012.66015625,39693.3984375,39994.640625,96600000,0.06278724304602523
2025-07-07,39587.6796875,39829.37890625,39524.25,39729.55859375,93400000,-0.560648809777875
2025-07-08,39729.7890625,39816.26953125,39510.48046875,39542.0703125,0,0.35897374163322837
