Tweet
"RT @takitanufs: トランプ大統領の石破首相への書簡全文　日本に新関税25%通告
https://t.co/dWSlzRq1YV
25%という数字は、あなたの国との貿易赤字の不均衡を解消するために必要な数字よりもはるかに少ないことを理解してください。
――必要な数字…"
"ソニー、スマホ｢Xperia｣旗艦モデルを出荷停止　電源不具合で：日本経済新聞
https://t.co/Wv1PAOv1Iu"
作家　宮内悠介（1）：日本経済新聞 https://t.co/WRQcPKCAcH
"RT @oku_D3: ゴッホの「星月夜」やミレーの「落ち穂拾い」来るらしい！

オルセー美術館展、来年11月開催　東京都内で　ゴッホやミレーなど110点 - 日本経済新聞 https://t.co/26O7qO0mQ4"
RT @antitaxhike: 私立も含めて無償化したら私立に学生が流れるのは当然だろ。これはあからさまな私立への利益供与。維新はどのツラ下げて教育の質が云々という議論ができるのか不明、その前に自らの政治家としての質を問うべき。「タダより高いものはない」。国民も賢くならないと…
"山本由伸7敗目、大谷翔平2安打　ダルビッシュ復帰登板は黒星：日本経済新聞
https://t.co/sEpLJTv3gM"
"RT @nikkei: 日経平均一時200円高　トヨタ株高が映す「TACOトレード」継続
https://t.co/VeKy7CggxG"
"ソニー、スマホ｢Xperia｣旗艦モデルを出荷停止　電源不具合で
https://t.co/hes6dudAiq"
"ベネッセ、中学向けフリースクール10月本格参入　ネットとリアルで：日本経済新聞
https://t.co/QvOYASOJmR"
"RT @oku_D3: ゴッホの「星月夜」やミレーの「落ち穂拾い」来るらしい！

オルセー美術館展、来年11月開催　東京都内で　ゴッホやミレーなど110点 - 日本経済新聞 https://t.co/26O7qO0mQ4"
