Datetime,Close,High,Low,Open,Volume
,^N225,^N225,^N225,^N225,^N225
2025-07-16 00:00:00+00:00,39739.890625,39750.8203125,39734.73828125,39734.73828125,0
2025-07-16 00:01:00+00:00,39699.19140625,39741.44921875,39699.19140625,39730.921875,0
2025-07-16 00:02:00+00:00,39664.87890625,39692.33984375,39659.41015625,39692.33984375,0
2025-07-16 00:03:00+00:00,39673.609375,39685.62109375,39647.87109375,39657.51953125,0
2025-07-16 00:04:00+00:00,39656.421875,39670.26171875,39655.7890625,39668.3203125,0
2025-07-16 00:05:00+00:00,39646.98046875,39657.4609375,39634.58984375,39657.4609375,0
2025-07-16 00:06:00+00:00,39619.1015625,39648.19140625,39619.1015625,39648.19140625,0
2025-07-16 00:07:00+00:00,39612.37109375,39622.890625,39603.75,39618.80859375,0
2025-07-16 00:08:00+00:00,39590.83984375,39621.7890625,39587.3203125,39621.7890625,0
2025-07-16 00:09:00+00:00,39599.51171875,39600.19140625,39589.859375,39600.19140625,0
2025-07-16 00:10:00+00:00,39609.1015625,39609.1015625,39609.1015625,39609.1015625,0
