Price,Close,High,Low,Open,Volume
Ticker,^N225,^N225,^N225,^N225,^N225
Datetime,,,,,
2025-07-11 00:00:00+00:00,39794.19921875,39886.5390625,39790.8203125,39886.5390625,0
2025-07-11 00:01:00+00:00,39830.828125,39845.1015625,39799.640625,39799.640625,0
2025-07-11 00:02:00+00:00,39852.078125,39869.12890625,39827.4296875,39827.4296875,0
2025-07-11 00:03:00+00:00,39889.41015625,39894.1484375,39840.1796875,39840.1796875,0
2025-07-11 00:04:00+00:00,39871.359375,39902.7890625,39871.359375,39901.73828125,0
2025-07-11 00:05:00+00:00,39838.41015625,39897.83984375,39835.69140625,39887.5703125,0
2025-07-11 00:06:00+00:00,39869.21875,39869.21875,39837.23046875,39848.8984375,0
2025-07-11 00:07:00+00:00,39911.12109375,39911.12109375,39864.83984375,39876.94140625,0
2025-07-11 00:08:00+00:00,39938.37109375,39957.80078125,39917.05859375,39917.05859375,0
2025-07-11 00:09:00+00:00,39912.96875,39932.58984375,39908.76171875,39925.23828125,0
2025-07-11 00:10:00+00:00,39923.671875,39928.8984375,39894.12890625,39903.75,0
2025-07-11 00:11:00+00:00,39951.98828125,39954.94140625,39918.421875,39918.421875,0
2025-07-11 00:12:00+00:00,39932.69140625,39955.2890625,39921.2109375,39955.2890625,0
2025-07-11 00:13:00+00:00,39932.671875,39942.3203125,39923.5703125,39933.76171875,0
2025-07-11 00:14:00+00:00,39932.26953125,39942.37109375,39919.69921875,39933.87890625,0
2025-07-11 00:15:00+00:00,39910.7109375,39938.3984375,39898.80859375,39929.33984375,0
2025-07-11 00:16:00+00:00,39838.9609375,39913.41015625,39838.9609375,39910.48046875,0
2025-07-11 00:17:00+00:00,39779.58984375,39843.44921875,39779.58984375,39843.44921875,0
2025-07-11 00:18:00+00:00,39725.7109375,39785.96875,39717.921875,39785.96875,0
2025-07-11 00:19:00+00:00,39727.6796875,39746.44921875,39725.609375,39725.609375,0
2025-07-11 00:20:00+00:00,39706.87109375,39724.4609375,39697.23828125,39724.4609375,0
2025-07-11 00:21:00+00:00,39693.6796875,39706.3984375,39683.171875,39706.3984375,0
2025-07-11 00:22:00+00:00,39659.62890625,39688.73828125,39658.0,39688.73828125,0
2025-07-11 00:23:00+00:00,39636.28125,39661.4296875,39636.28125,39661.4296875,0
2025-07-11 00:24:00+00:00,39591.3984375,39628.859375,39591.3984375,39628.859375,0
2025-07-11 00:25:00+00:00,39610.69140625,39618.23046875,39592.609375,39592.609375,0
2025-07-11 00:26:00+00:00,39623.53125,39627.12109375,39601.390625,39613.51953125,0
2025-07-11 00:27:00+00:00,39563.44921875,39627.5,39553.7890625,39626.1015625,0
2025-07-11 00:28:00+00:00,39609.66015625,39610.37890625,39574.87890625,39574.87890625,0
2025-07-11 00:29:00+00:00,39605.9296875,39610.94140625,39590.76171875,39608.8515625,0
2025-07-11 00:30:00+00:00,39615.078125,39615.75,39579.4609375,39608.33984375,0
2025-07-11 00:31:00+00:00,39647.41015625,39647.41015625,39614.12890625,39618.30859375,0
2025-07-11 00:32:00+00:00,39644.30078125,39665.19921875,39640.75,39646.96875,0
2025-07-11 00:33:00+00:00,39676.3515625,39676.3515625,39648.98828125,39651.421875,0
2025-07-11 00:34:00+00:00,39680.58984375,39697.609375,39676.828125,39679.578125,0
2025-07-11 00:35:00+00:00,39676.859375,39689.12109375,39676.859375,39683.890625,0
2025-07-11 00:36:00+00:00,39690.578125,39692.8984375,39676.80859375,39676.80859375,0
2025-07-11 00:37:00+00:00,39683.01953125,39691.05859375,39662.6484375,39691.05859375,0
2025-07-11 00:38:00+00:00,39659.23046875,39696.609375,39659.23046875,39692.94921875,0
2025-07-11 00:39:00+00:00,39662.5,39662.5,39644.05859375,39654.3203125,0
2025-07-11 00:40:00+00:00,39634.421875,39664.109375,39634.421875,39664.109375,0
2025-07-11 00:41:00+00:00,39661.71875,39661.71875,39627.44140625,39629.66015625,0
2025-07-11 00:42:00+00:00,39654.01171875,39673.8984375,39650.2890625,39666.26171875,0
2025-07-11 00:43:00+00:00,39651.390625,39664.3203125,39649.328125,39655.078125,0
2025-07-11 00:44:00+00:00,39642.96875,39658.80078125,39638.2890625,39648.73046875,0
2025-07-11 00:45:00+00:00,39663.9609375,39663.9609375,39621.62109375,39631.6484375,0
2025-07-11 00:46:00+00:00,39681.1015625,39681.23828125,39661.28125,39664.05078125,0
2025-07-11 00:47:00+00:00,39670.390625,39682.98828125,39666.69140625,39681.390625,0
2025-07-11 00:48:00+00:00,39692.6796875,39696.2890625,39671.5390625,39671.76171875,0
2025-07-11 00:49:00+00:00,39700.87890625,39710.2890625,39691.73828125,39691.73828125,0
2025-07-11 00:50:00+00:00,39674.9296875,39699.73828125,39673.80078125,39698.48828125,0
2025-07-11 00:51:00+00:00,39676.80859375,39693.1015625,39676.3984375,39676.3984375,0
2025-07-11 00:52:00+00:00,39670.73046875,39683.4609375,39670.73046875,39678.2890625,0
2025-07-11 00:53:00+00:00,39674.83984375,39689.87109375,39673.3203125,39673.3203125,0
2025-07-11 00:54:00+00:00,39670.01953125,39674.33984375,39664.609375,39674.33984375,0
2025-07-11 00:55:00+00:00,39640.51953125,39664.6796875,39640.51953125,39662.359375,0
2025-07-11 00:56:00+00:00,39728.7890625,39728.7890625,39631.44921875,39639.421875,0
2025-07-11 00:57:00+00:00,39765.0390625,39765.0390625,39737.0,39737.76171875,0
2025-07-11 00:58:00+00:00,39726.94140625,39764.51171875,39726.94140625,39757.921875,0
2025-07-11 00:59:00+00:00,39730.26171875,39731.890625,39720.94140625,39731.890625,0
2025-07-11 01:00:00+00:00,39703.75,39731.078125,39703.75,39728.1484375,0
2025-07-11 01:01:00+00:00,39710.640625,39710.640625,39694.7890625,39701.48046875,0
2025-07-11 01:02:00+00:00,39713.921875,39718.87890625,39702.25,39711.828125,0
2025-07-11 01:03:00+00:00,39697.87109375,39718.46875,39697.87109375,39718.46875,0
2025-07-11 01:04:00+00:00,39680.0703125,39700.19921875,39680.0703125,39698.75,0
2025-07-11 01:05:00+00:00,39668.94140625,39693.69140625,39668.94140625,39681.76953125,0
2025-07-11 01:06:00+00:00,39671.33984375,39671.33984375,39657.98046875,39670.23828125,0
2025-07-11 01:07:00+00:00,39660.80078125,39673.44140625,39660.80078125,39672.7890625,0
2025-07-11 01:08:00+00:00,39655.1484375,39659.23046875,39651.41015625,39658.671875,0
2025-07-11 01:09:00+00:00,39686.03125,39690.640625,39648.76171875,39652.33984375,0
2025-07-11 01:10:00+00:00,39692.37890625,39692.37890625,39679.1796875,39685.91015625,0
2025-07-11 01:11:00+00:00,39676.609375,39693.12890625,39673.05859375,39693.12890625,0
2025-07-11 01:12:00+00:00,39677.16015625,39681.5390625,39673.6796875,39677.55859375,0
2025-07-11 01:13:00+00:00,39660.83984375,39675.6484375,39650.58984375,39674.859375,0
2025-07-11 01:14:00+00:00,39649.9609375,39658.9296875,39647.62109375,39658.78125,0
2025-07-11 01:15:00+00:00,39662.6015625,39663.1484375,39640.859375,39645.44921875,0
